From	To
A0A0D2X7Z3	1408
A0A0D9SF94	84787
A0A0D9SFJ1	51004
A0A0D9SGD3	83940
A0A0D9SGJ6	8867
A0A0U1RQX7	8556
A0A0U1RR16	245973
A0A183	448835
A0A5E8	10634
A0AV02	84561
A0AV96	54502
A0AVF1	79989
A0AVI4	92305
A0AVK6	79733
A0AVT1	55236
A0FGR8	57488
A0MZ66	57698
A0PG75	389158
A0PJK1	125206
A0PJW8	92196
A0PJY2	389549
A0PJZ3	727936
A0PK00	144404
A1A4Y4	345611
A1A5B4	338440
A1A5C7	63027
A1E959	54959
A1KZ92	137902
A1L167	134111
A1L190	644186
A1L3X0	79993
A1L4H1	284297
A1X283	285590
A1YPR0	201501
A1Z1Q3	140733
A2A288	340152
A2A3D8	65217
A2ABF8	10919
A2IDD5	124093
A2PYH4	164045
A2RRP1	51594
A2RTX5	123283
A2RU30	9840
A2RU49	123688
A2RU54	3167
A2RUB6	285331
A2RUC4	129450
A2RUS0	151
A2RUS2	22898
A2T115	267012
A2VDF0	282969
A2VDJ0	23240
A4D126	729920
A4D1B5	54103
A4D1E9	85865
A4D1T9	136242
A4D2G3	392138
A4D2P6	392862
A4QPB2	91355
A4UGR9	129446
A5A3E0	728378
A5D6W6	161247
A5D8V6	55048
A5D8V7	115948
A5JUZ3	1647
A5LHX3	122706
A5PKW4	5662
A5PLL3	7994
A5X5Y0	285242
A5YKK6	23019
A5YM72	57571
A6BM72	84465
A6NC86	390940
A6NC98	283234
A6NCB9	2138
A6NCE7	643246
A6NCF5	123103
A6NCQ9	643904
A6NCS4	137814
A6ND01	390243
A6ND48	401994
A6ND91	554235
A6NDB9	342979
A6NDG6	283871
A6NDS4	414059
A6NDV4	51754
A6NDZ8	653656
A6NE02	388419
A6NE52	340390
A6NF36	101927581
A6NFA1	388630
A6NFD8	391723
A6NFH5	646486
A6NFK2	643226
A6NFQ2	285966
A6NFV8	84062
A6NFY7	644096
A6NGB9	644150
A6NGE7	646625
A6NGG8	388939
A6NGQ2	441161
A6NH52	780776
A6NHG8	7187
A6NHQ4	100170841
A6NHR9	23347
A6NHT5	340784
A6NI15	343930
A6NI61	389827
A6NIH7	84747
A6NIX2	126374
A6NJ46	157848
A6NJ78	196074
A6NJI9	100506049
A6NJT0	340260
A6NK06	730249
A6NK58	387787
A6NKC6	94137
A6NKD2	64591
A6NKD9	317762
A6NKT7	653489
A6NL88	729956
A6NLF2	100506888
A6NLJ0	388125
A6NMB9	401720
A6NMN3	170370
A6NMT0	120237
A6NMV7	3061
A6NMX2	253314
A6NMZ7	131873
A6NN97	57185
A6NNA5	644168
A6NNB3	387733
A6NNS2	201140
A6NNY8	389856
A6PVI3	392517
A6PVL3	148930
A6XGL0	374887
A7E2Y1	57644
A7XYQ1	55084
A8K0H0	3429
A8K0Z3	100287171
A8K2U0	144568
A8K5M9	643338
A8K7I4	1179
A8K8P3	9814
A8K979	112479
A8MPS7	150223
A8MPY1	200959
A8MQ02	4301
A8MQ27	54492
A8MSY1	100526772
A8MT69	201254
A8MTJ3	346562
A8MTK3	25913
A8MTQ0	344022
A8MTZ0	92482
A8MU46	219537
A8MUM7	148003
A8MUP8	5914
A8MW95	441925
A8MW99	101928601
A8MX02	124751
A8MXD5	389207
A8MXH5	1288
A8MXV4	390916
A8MYT4	5289
A8MYU2	157855
A8MZ36	645027
A9QM74	402569
A9YTQ3	57491
A9Z1W9	255220
B0I1T2	64005
B0QY95	54471
B0QYS6	7942
B0YJ81	9200
B1AHC9	2547
B1AK53	83715
B1AK88	832
B1AMS2	23157
B1AP13	1604
B1APP6	5214
B1AR61	3098
B1PBA3	55627
B2R4S9	8339
B2R4S9	8343
B2R4S9	8344
B2R4S9	8346
B2R4S9	8347
B2RA97	29104
B2RTY4	4649
B2RXF0	730130
B2RXH2	390245
B3KS59	64174
B3KSI3	587
B3KW70	8076
B3SHH9	283953
B4DED4	84264
B4DFF3	1201
B4DGP2	59350
B4DGU4	1499
B4DGW9	51440
B4DK25	11101
B4DL54	100529261
B4DLN5	25970
B4DM58	1719
B4DND0	7378
B4DNK4	5315
B4DS77	729993
B4DTQ9	284
B4DUT8	1265
B4DWJ3	55840
B4DX60	144715
B4DXU5	10062
B4DY26	7046
B4DY77	55821
B4DZ60	262
B4DZS0	1677
B4E0T2	5830
B4E127	6996
B4E3E2	56964
B4E3T4	11030
B5MCR8	55676
B5MCT2	2115
B5MCV2	728294
B5ME19	728689
B7U540	100134444
B7WPH3	27443
B7WPL9	9677
B7Z1U7	54715
B7Z212	54511
B7Z278	11069
B7Z2Q2	55331
B7Z3L6	9154
B7Z4W5	883
B7Z685	2983
B7ZAQ6	51463
B7ZAQ6	653519
B7ZAX5	2585
B7ZBB8	648791
B7ZKJ3	2044
B7ZL88	285521
B7ZLG1	50943
B7ZLQ5	6594
B7ZLR4	540
B7ZM99	25902
C9IZU8	6120
C9J1J0	107
C9J202	644974
C9J2Y9	5431
C9J4K0	79074
C9J5X1	3480
C9JE40	197135
C9JFV4	27043
C9JJ19	65993
C9JME2	10160
C9JQA1	10084
D3DTX6	84687
D3DWC4	259230
D3DX19	7122
D3W0D1	100431172
D6RAR4	3083
D6RBW1	1977
D6RF47	7478
D6RGH6	345643
D6RI10	6691
D6W5U7	10734
D6W5Y5	1153
E5RFY4	285753
E5RH45	5375
E7ETN2	2139
E7ETR0	8607
E7EUN9	54920
E7EV84	8678
E7EV90	57210
E7EX17	1975
E7EX88	176
E9PAT1	54866
E9PBP6	4547
E9PCN2	2983
E9PCX7	23530
E9PDJ2	1827
E9PEI0	157313
E9PES4	11127
E9PEX6	1738
E9PF10	9631
E9PH57	6925
E9PIC8	887
E9PJF4	1207
E9PJX4	121512
E9PPJ3	219537
F1T0K3	5145
F2Z2P2	150290
F5GWI4	100
F5GX30	4074
F5GX32	5893
F5GXF0	3164
F5GXS2	81
F5GZG6	27010
F5H127	9187
F5H2B5	122618
F5H2X7	25792
F5H5D3	84790
F5H6H0	8091
F6TDL0	110117499
F6VRR5	84271
F6VUX8	55835
F6WQW2	5902
F8VNR3	7039
F8VPD4	790
F8VQZ7	10988
F8VVT9	116986
F8VX04	81539
F8VY02	10961
F8W1A4	204
F8W7T1	8110
F8W7W8	3077
F8W883	23026
F8W9F8	29974
F8WBA1	56244
F8WCM8	2051
G0XQ39	6786
G3V1S7	3036
G3XAK1	4485
G5E9I4	25855
G8JLG1	8243
G8JLG2	1041
H0YL14	90120
H3BMD8	10776
H3BMQ0	7249
H3BN52	79650
H3BP16	55142
H3BSW6	348180
H7C2I1	3276
H9KV77	55352
H9KVD2	6331
I0J062	101927423
I3L273	100507003
J3KN59	663
J3KNB4	820
J3KNF6	285704
J3KNL2	1731
J3KNS1	23287
J3KQS6	29086
J3KQV8	8867
J3KR25	57761
J3KTA4	1655
J3QQX2	396
J3QRS3	10627
J3QTB1	340061
K7ELL7	5589
K9M1U5	101180976
M0QY76	7538
M0QYZ2	1175
M5A8F1	90625
O00115	1777
O00116	8540
O00139	3796
O00141	6446
O00142	7084
O00144	8326
O00148	10212
O00154	11332
O00159	4641
O00161	8773
O00165	10456
O00167	2139
O00168	5348
O00170	9049
O00175	6369
O00178	9567
O00180	3775
O00182	3965
O00186	6814
O00187	10747
O00189	9179
O00194	5874
O00198	8739
O00203	8546
O00204	6820
O00206	7099
O00212	29984
O00213	322
O00214	3964
O00217	4728
O00219	3038
O00220	8797
O00221	4794
O00222	2918
O00231	5717
O00232	5718
O00233	5715
O00238	658
O00244	475
O00253	181
O00254	2151
O00255	4221
O00257	8535
O00267	6829
O00268	6874
O00273	1676
O00292	7044
O00294	7287
O00300	4982
O00303	8665
O00305	785
O00308	11060
O00311	8317
O00321	2116
O00322	11045
O00327	406
O00329	5293
O00330	8050
O00337	9154
O00338	6819
O00339	4147
O00341	6512
O00358	2304
O00391	5768
O00400	9197
O00401	8976
O00408	5138
O00409	1112
O00410	3843
O00411	5442
O00418	29904
O00421	9034
O00422	10284
O00423	2009
O00425	10643
O00429	10059
O00443	5286
O00444	10733
O00445	6861
O00451	2675
O00453	7940
O00458	3475
O00459	5296
O00462	4126
O00463	7188
O00468	375790
O00469	5352
O00470	4211
O00472	22936
O00476	10786
O00481	11119
O00482	2494
O00483	4697
O00487	10213
O00499	274
O00501	7122
O00505	3839
O00506	10494
O00507	8287
O00512	607
O00519	2166
O00522	889
O00533	10752
O00541	23481
O00548	28514
O00555	773
O00559	9166
O00560	6386
O00562	9600
O00566	10199
O00567	10528
O00570	6656
O00571	1654
O00574	10663
O00584	8635
O00585	6366
O00587	4242
O00590	1238
O00591	2568
O00592	5420
O00602	2219
O00622	3491
O00623	5193
O00625	8544
O00628	5191
O00631	6588
O00635	10475
O00712	4781
O00716	1871
O00744	7480
O00746	4833
O00748	8824
O00750	5287
O00755	7476
O00757	8789
O00762	11065
O00763	32
O00764	8566
O00767	6319
O14493	1364
O14494	8611
O14495	8613
O14497	8289
O14503	8553
O14508	8835
O14511	9542
O14512	30837
O14519	8099
O14520	364
O14521	6392
O14522	11122
O14523	9854
O14525	460
O14526	23149
O14529	23316
O14531	10570
O14543	9021
O14544	9306
O14556	26330
O14561	4706
O14576	1780
O14578	11113
O14594	1463
O14595	10106
O14599	442867
O14599	442868
O14599	9083
O14604	9087
O14607	7404
O14613	10435
O14617	8943
O14618	9973
O14625	6373
O14627	1046
O14633	26239
O14638	5169
O14640	1855
O14641	1856
O14645	7802
O14646	1105
O14647	1106
O14649	3777
O14653	9570
O14656	1861
O14662	8675
O14672	102
O14678	5826
O14682	8507
O14684	9536
O14686	8085
O14713	9270
O14717	1787
O14718	10692
O14727	317
O14732	3613
O14733	5609
O14734	10005
O14735	10423
O14737	9141
O14744	10419
O14745	9368
O14746	7015
O14753	5017
O14756	8630
O14757	1111
O14770	4212
O14772	8790
O14773	1200
O14775	10681
O14776	10915
O14777	10403
O14786	8829
O14788	8600
O14791	8542
O14793	2660
O14795	10497
O14796	117157
O14802	11128
O14804	9038
O14810	10815
O14813	401
O14829	5475
O14830	5470
O14832	5264
O14836	23495
O14841	26873
O14842	2864
O14843	2865
O14862	9447
O14863	7782
O14867	571
O14874	10295
O14879	3437
O14880	4259
O14893	8487
O14896	3664
O14904	7483
O14905	7484
O14907	30851
O14908	10755
O14910	8825
O14917	27253
O14920	3551
O14921	6003
O14924	6002
O14925	100287932
O14929	8520
O14931	259197
O14933	9246
O14936	8573
O14939	5338
O14944	2069
O14949	27089
O14950	103910
O14950	10627
O14958	845
O14964	9146
O14965	6790
O14966	8934
O14967	1047
O14974	4659
O14975	11001
O14977	51582
O14979	9987
O14980	7514
O14981	9044
O14983	487
O14986	8395
O15020	6712
O15031	23654
O15041	9723
O15047	9739
O15054	23135
O15055	8864
O15056	8871
O15061	23336
O15066	9371
O15067	5198
O15068	23263
O15072	9508
O15075	9201
O15078	80184
O15090	9745
O15091	9692
O15105	4092
O15111	1147
O15116	27257
O15118	4864
O15119	6926
O15120	10555
O15123	285
O15130	8620
O15144	10109
O15146	4593
O15151	4194
O15156	51043
O15160	9533
O15162	5359
O15164	8805
O15165	753
O15169	8312
O15178	6862
O15182	1070
O15198	4093
O15205	10537
O15212	10471
O15213	9277
O15218	11318
O15228	8443
O15229	8564
O15230	3911
O15234	22794
O15235	6183
O15240	7425
O15243	54741
O15244	6582
O15245	6580
O15247	1193
O15254	8310
O15259	4867
O15260	6836
O15265	6314
O15269	10558
O15273	8557
O15287	2189
O15294	8473
O15296	247
O15297	8493
O15303	2916
O15304	10572
O15315	5890
O15327	8821
O15335	1101
O15342	8992
O15347	3149
O15350	7161
O15353	8456
O15354	2861
O15357	3636
O15370	6666
O15371	8664
O15374	9122
O15379	8841
O15381	4931
O15382	587
O15391	404281
O15392	332
O15393	7113
O15399	2906
O15400	8417
O15409	93986
O15417	84629
O15431	1317
O15432	1318
O15438	8714
O15439	10257
O15444	6370
O15446	10849
O15455	7098
O15457	4438
O15466	29906
O15467	6360
O15484	726
O15488	8908
O15496	8399
O15498	10652
O15503	3638
O15504	11097
O15514	5433
O15516	9575
O15519	8837
O15520	2255
O15524	8651
O15525	4097
O15527	4968
O15528	1594
O15530	5170
O15533	6892
O15534	5187
O15537	6247
O15541	7737
O15547	9127
O15550	7403
O15552	2867
O15553	4210
O15554	3783
O43143	1665
O43147	9905
O43151	200424
O43155	23768
O43156	9675
O43157	5364
O43159	23378
O43164	9867
O43172	9128
O43173	51046
O43174	1592
O43175	26227
O43181	4724
O43182	395
O43186	1406
O43189	5252
O43193	2862
O43196	4439
O43236	5414
O43246	6545
O43251	23543
O43252	9061
O43255	6478
O43257	10467
O43264	9183
O43272	5625
O43278	6692
O43280	11181
O43286	9334
O43290	9092
O43292	8733
O43293	1613
O43294	7041
O43299	9907
O43306	112
O43312	9788
O43314	23262
O43315	366
O43318	6885
O43320	8823
O43323	50846
O43324	9521
O43347	4440
O43353	8767
O43364	3199
O43365	3200
O43390	10236
O43396	9352
O43424	2895
O43426	8867
O43432	8672
O43435	6899
O43447	10465
O43451	8972
O43462	51360
O43463	6839
O43464	27429
O43474	9314
O43482	11339
O43488	8574
O43490	8842
O43491	2037
O43497	8913
O43502	5889
O43504	10542
O43505	11041
O43508	407977
O43508	8742
O43511	5172
O43516	7456
O43520	5205
O43521	10018
O43524	2309
O43525	3786
O43529	9486
O43541	4091
O43542	7517
O43543	7516
O43556	8910
O43557	8740
O43561	27040
O43566	10636
O43570	771
O43581	9066
O43583	8562
O43592	11260
O43593	55806
O43597	10253
O43602	1641
O43603	8811
O43610	10251
O43612	3060
O43613	3061
O43614	3062
O43623	6591
O43633	27243
O43639	8440
O43657	7105
O43660	5356
O43663	9055
O43670	7756
O43679	9079
O43680	6943
O43681	439
O43683	699
O43684	9184
O43687	9465
O43704	27284
O43707	81
O43708	2954
O43711	30012
O43715	51499
O43716	283459
O43719	27336
O43734	10758
O43736	9452
O43739	9265
O43741	5565
O43745	63928
O43747	164
O43759	9145
O43763	3196
O43765	6449
O43768	2029
O43772	788
O43795	4430
O43805	8636
O43808	10478
O43809	11051
O43813	10314
O43818	9136
O43819	9997
O43820	8372
O43823	10270
O43825	8707
O43826	2542
O43829	7541
O43837	3420
O43847	4898
O43861	374868
O43865	10768
O43866	922
O43868	9153
O43889	10488
O43909	2137
O43914	7305
O43915	2277
O43916	8534
O43918	326
O43927	10563
O43933	5189
O60216	5885
O60218	57016
O60238	665
O60239	9467
O60243	9394
O60244	9282
O60245	5099
O60248	6665
O60256	5636
O60258	8822
O60259	11202
O60260	5071
O60264	8467
O60266	109
O60271	9043
O60282	3800
O60291	23295
O60313	4976
O60315	9839
O60337	10299
O60341	23028
O60343	9882
O60344	110599564
O60344	110599583
O60344	9718
O60346	23239
O60347	23232
O60353	8323
O60356	26471
O60359	10368
O60381	26959
O60383	2661
O60391	116444
O60422	390874
O60423	148229
O60427	3992
O60443	1687
O60469	1826
O60476	10905
O60479	1747
O60481	7547
O60486	10154
O60488	2182
O60493	8724
O60494	8029
O60500	4868
O60502	10724
O60503	115
O60504	10174
O60506	10492
O60512	8703
O60513	8702
O60516	8637
O60519	1389
O60543	1149
O60547	2762
O60551	9397
O60563	904
O60565	26585
O60566	701
O60568	8985
O60583	905
O60602	7100
O60603	7097
O60609	2676
O60610	1729
O60636	10100
O60641	9892
O60645	11336
O60656	54600
O60658	5151
O60662	10324
O60669	9194
O60671	5810
O60673	5980
O60674	3717
O60675	7975
O60678	10196
O60687	27286
O60701	7358
O60706	10060
O60711	9404
O60716	1500
O60721	9187
O60725	23463
O60733	8398
O60741	348980
O60749	6643
O60760	27306
O60762	8813
O60763	8615
O60765	6940
O60779	10560
O60806	9095
O60814	85236
O60825	5208
O60826	28952
O60828	10084
O60831	11230
O60832	1736
O60844	653808
O60858	10206
O60882	9313
O60883	9283
O60884	10294
O60885	23476
O60890	4983
O60894	10267
O60895	10266
O60896	10268
O60902	6474
O60906	6610
O60911	1515
O60921	3364
O60927	6992
O60930	246243
O60931	1497
O60934	4683
O60936	8996
O60938	11081
O60939	6327
O60942	8732
O75030	4286
O75044	23380
O75051	5362
O75052	9722
O75061	9829
O75064	9909
O75072	2218
O75083	9948
O75084	8324
O75093	6585
O75094	6586
O75096	4038
O75106	314
O75112	11155
O75116	9475
O75122	23122
O75127	26024
O75128	23242
O75129	23245
O75140	9681
O75144	23308
O75147	23363
O75150	9810
O75151	5253
O75152	9877
O75154	9727
O75155	23066
O75159	9655
O75161	261734
O75164	9682
O75165	23317
O75179	26057
O75182	23309
O75185	9914
O75190	10049
O75191	9942
O75192	8800
O75197	4041
O75251	374291
O75293	4616
O75298	6253
O75310	10720
O75311	8001
O75312	8882
O75323	2631
O75324	8303
O75326	8482
O75340	10016
O75342	242
O75344	8468
O75348	9550
O75351	9525
O75354	955
O75355	956
O75356	957
O75360	5626
O75364	5309
O75365	11156
O75367	9555
O75369	2317
O75376	9611
O75379	8674
O75380	4726
O75381	5195
O75385	8408
O75386	7289
O75387	8501
O75394	9553
O75396	9554
O75398	10522
O75417	10721
O75419	8318
O75436	9559
O75439	9512
O75445	7399
O75460	2081
O75462	9244
O75469	8856
O75473	8549
O75475	11168
O75477	10613
O75478	6871
O75487	2239
O75494	10772
O75503	1203
O75506	3281
O75508	5010
O75509	27242
O75521	10455
O75530	8726
O75531	8815
O75533	23451
O75534	7812
O75553	1600
O75563	8935
O75569	8575
O75570	9617
O75575	27297
O75578	8515
O75581	4040
O75582	9252
O75586	10001
O75593	8928
O75594	8993
O75600	23464
O75604	9099
O75608	10434
O75626	639
O75631	7380
O75635	8710
O75636	8547
O75643	23020
O75648	55687
O75663	261726
O75665	8481
O75674	10040
O75676	8986
O75683	6838
O75688	5495
O75689	11033
O75690	57830
O75691	27340
O75694	9631
O75712	2707
O75715	2880
O75718	10491
O75746	8604
O75751	6581
O75752	8706
O75762	8989
O75781	5064
O75787	10159
O75792	10535
O75800	51364
O75807	23645
O75822	8669
O75828	874
O75829	11061
O75838	10518
O75843	8906
O75844	10269
O75845	6309
O75865	79090
O75874	3417
O75880	6341
O75881	9420
O75888	8741
O75891	10840
O75896	11334
O75899	9568
O75900	8510
O75901	9182
O75907	8694
O75908	8435
O75909	8812
O75911	9249
O75912	9162
O75914	5063
O75915	10550
O75916	8787
O75925	8554
O75934	10286
O75936	8424
O75947	10476
O75952	26256
O75955	10211
O75962	7204
O75995	54440
O76003	10539
O76024	7466
O76031	10845
O76036	9437
O76038	10590
O76039	6792
O76041	10529
O76050	9148
O76054	23541
O76062	7108
O76064	9025
O76071	9391
O76074	8654
O76075	1677
O76080	7763
O76082	6584
O76083	5152
O76090	7439
O76093	8817
O76094	6731
O77932	1797
O94759	7226
O94760	23576
O94761	9401
O94762	9400
O94766	26229
O94769	1842
O94776	9219
O94777	8818
O94782	7398
O94788	8854
O94804	6793
O94808	9945
O94810	8786
O94811	11076
O94813	9353
O94817	9140
O94826	9868
O94832	4642
O94851	9645
O94856	23114
O94874	23376
O94875	8470
O94880	9678
O94885	23328
O94887	9855
O94888	26043
O94901	23353
O94906	24148
O94907	22943
O94910	22859
O94911	10351
O94915	285527
O94916	10725
O94921	5218
O94923	26035
O94925	2744
O94966	10869
O94972	4591
O94973	161
O94979	22872
O94985	22883
O94986	22995
O94989	22899
O94991	26050
O94992	10614
O94993	11063
O95045	151531
O95050	11185
O95069	3776
O95071	51366
O95096	4821
O95136	9294
O95140	9927
O95149	10073
O95150	9966
O95153	9256
O95155	10277
O95163	8518
O95180	8912
O95185	8633
O95190	4947
O95197	10313
O95199	1102
O95201	7755
O95202	3954
O95210	8987
O95219	8723
O95229	11130
O95237	9227
O95238	25803
O95239	24137
O95243	8930
O95249	9527
O95251	11143
O95259	3756
O95267	10125
O95271	8658
O95278	7957
O95292	9217
O95295	23557
O95336	25796
O95342	8647
O95343	6496
O95347	10592
O95352	10533
O95361	10626
O95365	51341
O95376	10425
O95377	2709
O95390	10220
O95391	10569
O95393	27302
O95394	5238
O95395	9245
O95396	27304
O95398	10411
O95399	10911
O95405	9372
O95425	6840
O95427	23556
O95429	9530
O95445	55937
O95455	23483
O95456	8624
O95461	9215
O95466	752
O95470	8879
O95471	1366
O95476	23399
O95477	19
O95478	10412
O95479	9563
O95486	10802
O95487	10427
O95528	81031
O95551	51567
O95563	25874
O95571	23474
O95573	2181
O95619	8089
O95622	111
O95631	9423
O95633	10272
O95639	10898
O95665	23620
O95674	8760
O95684	11116
O95685	5509
O95707	10775
O95715	9547
O95716	9545
O95721	9342
O95727	56253
O95747	9943
O95749	9453
O95750	9965
O95758	9991
O95759	11138
O95760	90865
O95782	160
O95785	58525
O95786	23586
O95793	6780
O95800	10936
O95813	9350
O95816	9532
O95817	9531
O95819	9448
O95822	23417
O95825	9946
O95831	9131
O95835	9113
O95848	256281
O95857	27075
O95858	23555
O95861	10380
O95863	6615
O95864	9415
O95866	80739
O95876	51057
O95881	51060
O95897	93145
O95905	11319
O95907	23539
O95918	7932
O95922	25809
O95925	100526773
O95925	57119
O95926	25949
O95931	23492
O95935	9096
O95936	8320
O95947	6911
O95948	9480
O95954	10841
O95971	11126
O95972	9210
O95980	8434
O95985	8940
O95989	11165
O95992	9023
O95994	10551
O95996	10297
O95997	9232
O95998	10068
